0,YCoord,ID,197902_CHN,197903_HCC,197904_MCC,197907_SWH,197907_WSP,197912_SST,POINT_X,POINT_Y
160,-89.00000000,0,0.018000,0.312548,0.339831,5.545824,5.545824,,139.000000,-89.000000
161,-89.00000000,0,0.018000,0.312444,0.339095,5.562050,5.562050,,141.000000,-89.000000
162,-89.00000000,0,0.018000,0.312176,0.338200,5.587337,5.587337,,143.000000,-89.000000
163,-89.00000000,0,0.018000,0.311909,0.337294,5.612624,5.612624,,145.000000,-89.000000
164,-89.00000000,0,0.018000,0.311715,0.336696,5.629482,5.629482,,147.000000,-89.000000
165,-89.00000000,0,0.018000,0.311462,0.335801,5.654559,5.654559,,149.000000,-89.000000
166,-89.00000000,0,0.018000,0.311224,0.334873,5.680057,5.680057,,151.000000,-89.000000
167,-89.00000000,0,0.018000,0.311224,0.334074,5.696915,5.696915,,153.000000,-89.000000
168,-89.00000000,0,0.018000,0.311224,0.332901,5.722202,5.722202,,155.000000,-89.000000
169,-89.00000000,0,0.018000,0.311224,0.331707,5.747911,5.747911,,157.000000,-89.000000
170,-89.00000000,0,0.018000,0.311224,0.330928,5.764769,5.764769,,159.000000,-89.000000
171,-89.00000000,0,0.018000,0.311775,0.329681,5.788581,5.788581,,161.000000,-89.000000
172,-89.00000000,0,0.018000,0.312757,0.328369,5.811129,5.811129,,163.000000,-89.000000
173,-89.00000000,0,0.018000,0.313411,0.327495,5.826090,5.826090,,165.000000,-89.000000
174,-89.00000000,0,0.018000,0.314215,0.326248,5.845267,5.845267,,167.000000,-89.000000
175,-89.00000000,0,0.018000,0.314929,0.325032,5.863389,5.863389,,169.000000,-89.000000
176,-89.00000000,0,0.018000,0.315405,0.324222,5.875611,5.875611,,171.000000,-89.000000
177,-89.00000000,0,0.018000,0.316120,0.322996,5.893945,5.893945,,173.000000,-89.000000
178,-89.00000000,0,0.018000,0.316819,0.321780,5.911856,5.911856,,175.000000,-89.000000
179,-89.00000000,0,0.018000,0.317310,0.320970,5.924079,5.924079,,177.000000,-89.000000
180,-89.00000000,0,0.018000,0.318009,0.319744,5.942201,5.942201,,179.000000,-89.000000
181,-87.00000000,0,0.018000,0.213415,0.152926,7.272942,7.272942,,-179.000000,-87.000000
182,-87.00000000,0,0.018000,0.214100,0.156753,7.183383,7.183383,,-177.000000,-87.000000
183,-87.00000000,0,0.018000,0.214799,0.160570,7.093824,7.093824,,-175.000000,-87.000000
184,-87.00000000,0,0.018000,0.215483,0.164387,7.004476,7.004476,,-173.000000,-87.000000
185,-87.00000000,0,0.018000,0.214992,0.166445,6.962541,6.962541,,-171.000000,-87.000000
186,-87.00000000,0,0.018000,0.215841,0.168673,6.942733,6.942733,,-169.000000,-87.000000
187,-87.00000000,0,0.018000,0.217090,0.172011,6.912599,6.912599,,-167.000000,-87.000000
188,-87.00000000,0,0.018000,0.218355,0.175359,6.882886,6.882886,,-165.000000,-87.000000
189,-87.00000000,0,0.018000,0.219724,0.177960,6.872139,6.872139,,-163.000000,-87.000000
190,-87.00000000,0,0.018000,0.224218,0.182246,6.892369,6.892369,,-161.000000,-87.000000
191,-87.00000000,0,0.018000,0.230408,0.185040,6.927771,6.927771,,-159.000000,-87.000000
192,-87.00000000,0,0.018000,0.234545,0.186895,6.951162,6.951162,,-157.000000,-87.000000
193,-87.00000000,0,0.018000,0.244217,0.190563,6.996257,6.996257,,-155.000000,-87.000000
194,-87.00000000,0,0.018000,0.252714,0.193878,7.023230,7.023230,,-153.000000,-87.000000
195,-87.00000000,0,0.018000,0.255646,0.195360,7.028709,7.028709,,-151.000000,-87.000000
196,-87.00000000,0,0.018000,0.264470,0.199817,7.045146,7.045146,,-149.000000,-87.000000
197,-87.00000000,0,0.018000,0.274335,0.204391,7.037349,7.037349,,-147.000000,-87.000000
198,-87.00000000,0,0.018000,0.281805,0.207537,7.011851,7.011851,,-145.000000,-87.000000
199,-87.00000000,0,0.018000,0.292832,0.212185,6.959802,6.959802,,-143.000000,-87.000000
200,-87.00000000,0,0.018000,0.303546,0.216674,6.881411,6.881411,,-141.000000,-87.000000
201,-87.00000000,0,0.018000,0.310688,0.218657,6.822197,6.822197,,-139.000000,-87.000000
202,-87.00000000,0,0.018000,0.325033,0.218625,6.676163,6.676163,,-137.000000,-87.000000
203,-87.00000000,0,0.018000,0.336268,0.219073,6.561317,6.561317,,-135.000000,-87.000000
204,-87.00000000,0,0.018000,0.340330,0.219531,6.519593,6.519593,,-133.000000,-87.000000
205,-87.00000000,0,0.018000,0.349735,0.220598,6.402850,6.402850,,-131.000000,-87.000000
206,-87.00000000,0,0.018000,0.353499,0.221067,6.303387,6.303387,,-129.000000,-87.000000
207,-87.00000000,0,0.018000,0.356029,0.221376,6.236797,6.236797,,-127.000000,-87.000000
208,-87.00000000,0,0.018000,0.357071,0.221813,6.146395,6.146395,,-125.000000,-87.000000
209,-87.00000000,0,0.018000,0.350880,0.224916,6.081070,6.081070,,-123.000000,-87.000000
210,-87.00000000,0,0.018000,0.345270,0.229212,6.043982,6.043982,,-121.000000,-87.000000
211,-87.00000000,0,0.018000,0.334065,0.237838,5.969806,5.969806,,-119.000000,-87.000000
212,-87.00000000,0,0.018000,0.326000,0.244075,5.924500,5.924500,,-117.000000,-87.000000
213,-87.00000000,0,0.018000,0.319170,0.246432,5.910381,5.910381,,-115.000000,-87.000000
214,-87.00000000,0,0.018000,0.311968,0.248489,5.896895,5.896895,,-113.000000,-87.000000
215,-87.00000000,0,0.018000,0.297549,0.252605,5.869500,5.869500,,-111.000000,-87.000000
216,-87.00000000,0,0.018000,0.290332,0.254673,5.855803,5.855803,,-109.000000,-87.000000
217,-87.00000000,0,0.018000,0.287906,0.257136,5.841895,5.841895,,-107.000000,-87.000000
218,-87.00000000,0,0.018000,0.291448,0.261476,5.819979,5.819979,,-105.000000,-87.000000
219,-87.00000000,0,0.018000,0.293814,0.264344,5.805229,5.805229,,-103.000000,-87.000000
220,-87.00000000,0,0.018000,0.298516,0.270112,5.776148,5.776148,,-101.000000,-87.000000
221,-87.00000000,0,0.018000,0.301954,0.276946,5.745171,5.745171,,-99.000000,-87.000000
222,-87.00000000,0,0.018000,0.303278,0.280070,5.733792,5.733792,,-97.000000,-87.000000
223,-87.00000000,0,0.018000,0.307281,0.289485,5.699444,5.699444,,-95.000000,-87.000000
